id,name,category,latitude,longitude,is_verified
1,"Gurdev Hospital, Ludhiana",district_emergency,30.8884203,75.79153,1
3,Nampalli,district_emergency,16.8862748,78.9608692,1
4,SREC Health Center,district_emergency,11.1005451,76.9637445,1
5,Kalaignar Karunanidhi Nagar,district_emergency,13.0386493,80.2052158,1
6,Kasimedu,district_emergency,13.122775,80.2960584,1
7,"Paras Hospital, Gurgaon",district_emergency,28.4509689,77.0875533,1
8,Amrit Hospital,district_emergency,13.0922007,80.2792912,1
9,Vikram Hospital,district_emergency,13.0985007,80.2796178,1
10,City Tower Hospitals,district_emergency,13.08438,80.2160862,1
11,Max Hospital,district_emergency,28.462841,77.0759312,1
12,Swamy Hospital,district_emergency,12.8550625,77.6642727,1
13,Clinic,district_emergency,12.9134182,77.6774852,1
14,Government Hospital,district_emergency,11.4085627,76.7002627,1
15,"Apollo Hospitals, Tondiarpet",district_emergency,13.1289367,80.2905623,1
16,Mata Anandmayee Hosiptal,district_emergency,25.2929029,83.0055074,1
17,Punjabi Hospital,district_emergency,25.3460988,83.0372616,1
18,K.H.M.Hospital,district_emergency,13.0844424,80.2130723,1
19,Sundaram Medical Foundation,district_emergency,13.08217,80.2069819,1
20,Sri Devi Speciality Hospial,district_emergency,13.0887983,80.1994692,1
21,Govt. Medical College,trauma_l2,21.1295149,79.0974689,1
22,Indira Gandhi Medical College & Hospital,trauma_l2,21.1541868,79.0936492,1
23,Prakash Hospital Pvt Ltd,district_emergency,28.5854878,77.3494026,1
24,Corporation Hospital,district_emergency,13.0336624,80.2572467,1
25,Shanti Hospital,district_emergency,12.9235041,77.5857517,1
26,Apollo Hospital,district_emergency,12.9263714,77.6765455,1
27,Aravind Ayurvedic Hospital,district_emergency,9.363999,76.5925769,1
28,Highland Hospital,district_emergency,12.8663995,74.854664,1
29,Sumitra Hospital,district_emergency,28.5818659,77.3529095,1
30,"Hindu Mission Health Services, Kanchipuram",district_emergency,12.9787682,80.1846471,1
32,Military Hospital,district_emergency,13.0194622,80.1972947,1
33,Dr Ganesh Medical and Diabetic Clinic,district_emergency,12.9129006,77.6419101,1
34,Kilpauk Medical College,trauma_l2,13.0785984,80.2433369,1
35,Hariharan Hospital,district_emergency,12.9847145,80.1905906,1
36,BM Hospital,district_emergency,12.9887616,80.1904116,1
37,K.F. Hospital,district_emergency,12.973463,80.1841397,1
38,Aparna hospital,district_emergency,29.6067647,76.9789582,1
39,Cancer Institute,district_emergency,13.0061338,80.239884,1
40,Sri Ramachandra Medical Centre and Hospital,district_emergency,13.0380979,80.1428047,1
41,Govt Maternity Hospital,district_emergency,13.0720996,80.2589871,1
42,Institute of Child Health,district_emergency,13.0735496,80.257025,1
43,Institute of Obstetrics and Gynaecology dd,district_emergency,13.0735431,80.2591463,1
44,Ellen Multispeciality Hospital,district_emergency,11.0213634,76.9708723,1
45,GP Hospital,district_emergency,11.0201233,76.9710726,1
46,S. Waryam Singh Hospital,district_emergency,31.6333898,74.8765817,1
47,Metro Hospital And Research Institute,district_emergency,22.33499,73.2089837,1
48,Mental Hospital,district_emergency,22.3176736,73.1989415,1
49,Senthil Hospital,district_emergency,11.0089752,76.9578034,1
50,Dr. S. G. Rajarathinam Hospital,district_emergency,11.0095256,76.9619316,1
51,"K. G. Hospital, Coimbatore",district_emergency,11.0004227,76.9715023,1
52,Bel Air Hospital,district_emergency,17.9214501,73.79792,1
53,Saint Anne's Hospital,district_emergency,19.2733799,72.883476,1
55,Thrikkakara Municipal Co-operative Hospital,district_emergency,10.01816,76.34672,1
56,vengola govt homoeo dispensary,district_emergency,10.0971798,76.4511132,1
57,"Sunrise Hospital, Ernakulam",district_emergency,10.0252315,76.3388796,1
58,National Centre for Training and Research into Cerebral Palsy,district_emergency,19.0516428,72.8321317,1
59,Vikram Hospitals,district_emergency,17.4406857,78.3916647,1
60,Image Hospitals,district_emergency,17.4444337,78.3860746,1
61,DAE Hospital,district_emergency,12.5037319,80.159635,1
62,Maheswan Hospital,district_emergency,26.9170423,70.9053368,1
63,Mahatma Gandhi Hospital,district_emergency,26.2831291,73.0185635,1
64,JBS Hospital,district_emergency,12.9207173,77.5745968,1
65,Jayanagar heart Centre,district_emergency,12.9231684,77.584433,1
